enrollee_id,full_name,city,gender,enrolled_university,education_level,major_discipline,relevent_experience,experience,company_size,company_type,last_new_job,training_hours,employed,city_development_index
4167,Katie Hernandez,city_103,unknow,no_enrollment,Graduate,STEM,Has relevent experience,1,50-99,Pvt Ltd,never,106,0.0,0.92
5764,Laura Smith,city_21,unknow,no_enrollment,Graduate,STEM,Has relevent experience,2,5000-9999,Pvt Ltd,2,7,0.0,0.624
2156,Mike Miller,city_21,unknow,no_enrollment,Graduate,STEM,Has relevent experience,7,10000+,Pvt Ltd,never,23,1.0,0.624
11399,Jane Smith,city_13,Female,no_enrollment,Graduate,Arts,Has relevent experience,4,unknow,unknow,1,132,1.0,0.8270000000000001
31972,Mike Martinez,city_159,Male,no_enrollment,Masters,STEM,Has relevent experience,11,100-500,Pvt Ltd,1,68,0.0,0.843
19061,John Williams,city_114,Male,no_enrollment,Masters,STEM,Has relevent experience,11,100-500,Pvt Ltd,2,50,0.0,0.926
6491,Chris Garcia,city_102,unknow,no_enrollment,Masters,STEM,Has relevent experience,10,unknow,unknow,1,48,0.0,0.804
7041,Sarah Johnson,city_40,Male,no_enrollment,Graduate,Humanities,Has relevent experience,<1,1000-4999,Pvt Ltd,1,65,0.0,0.7759999999999999
22767,Alex Jones,city_21,unknow,no_enrollment,Graduate,STEM,Has relevent experience,5,1000-4999,Pvt Ltd,1,13,0.0,0.624
14505,Chris Martinez,city_67,unknow,no_enrollment,High School,unknow,No relevent experience,4,unknow,unknow,never,22,0.0,0.855
17139,Sarah Hernandez,city_21,unknow,Part time course,Graduate,STEM,Has relevent experience,14,500-999,Pvt Ltd,1,148,1.0,0.624
28476,Katie Williams,city_103,Male,no_enrollment,Graduate,Arts,Has relevent experience,5,unknow,unknow,2,72,0.0,0.92
21538,Katie Brown,city_100,Male,no_enrollment,High School,unknow,Has relevent experience,11,<10,Pvt Ltd,1,8,1.0,0.887
10408,Sarah Jones,city_21,Male,no_enrollment,Graduate,STEM,Has relevent experience,18,50-99,Funded Startup,2,68,1.0,0.624
14928,David Miller,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,Pvt Ltd,3,40,0.0,0.92
22293,Sarah Jones,city_103,Male,Part time course,Graduate,STEM,Has relevent experience,19,5000-9999,Pvt Ltd,>4,141,0.0,0.92
4324,Katie Davis,city_103,Female,Full time course,Graduate,STEM,No relevent experience,5,unknow,unknow,1,24,0.0,0.92
26966,Alex Williams,city_160,Female,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,Pvt Ltd,>4,82,0.0,0.92
26494,Alex Brown,city_16,Male,no_enrollment,Graduate,Business Degree,Has relevent experience,12,5000-9999,Pvt Ltd,3,145,0.0,0.91
4866,David Davis,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,10,10/49,Early Stage Startup,2,206,0.0,0.92
12726,Laura Hernandez,city_114,Male,Part time course,High School,unknow,No relevent experience,1,10000+,Other,1,152,0.0,0.926
10164,Jane Brown,city_114,Male,no_enrollment,Phd,STEM,Has relevent experience,>20,100-500,Pvt Ltd,4,42,1.0,0.926
8612,Laura Williams,city_103,unknow,no_enrollment,Graduate,STEM,No relevent experience,12,unknow,unknow,4,50,0.0,0.92
24659,John Hernandez,city_71,Male,no_enrollment,unknow,unknow,No relevent experience,3,unknow,unknow,never,106,0.0,0.884
2547,Sarah Hernandez,city_114,Female,Full time course,Masters,STEM,Has relevent experience,16,1000-4999,Public Sector,2,14,0.0,0.926
13854,Jane Garcia,city_104,Male,no_enrollment,High School,unknow,Has relevent experience,4,10/49,Pvt Ltd,2,36,0.0,0.924
31654,Laura Garcia,city_21,unknow,no_enrollment,Masters,STEM,Has relevent experience,6,50-99,Early Stage Startup,1,112,1.0,0.624
13643,Jane Williams,city_64,unknow,no_enrollment,Graduate,No Major,No relevent experience,9,50-99,Pvt Ltd,never,108,0.0,0.6659999999999999
5590,John Johnson,city_21,Male,Part time course,Masters,STEM,Has relevent experience,9,5000-9999,Pvt Ltd,3,7,1.0,0.624
22452,Jane Garcia,city_21,Female,Full time course,Masters,STEM,No relevent experience,5,unknow,unknow,never,26,1.0,0.624
9006,Emily Garcia,city_21,Male,no_enrollment,Graduate,STEM,Has relevent experience,5,100-500,Pvt Ltd,never,87,1.0,0.624
25987,Chris Johnson,city_103,Other,no_enrollment,Graduate,STEM,Has relevent experience,19,10000+,Public Sector,4,52,1.0,0.92
4476,Laura Hernandez,city_101,Male,no_enrollment,Graduate,No Major,Has relevent experience,15,unknow,unknow,>4,20,1.0,0.5579999999999999
25103,Jane Davis,city_83,Male,no_enrollment,Graduate,STEM,Has relevent experience,11,10/49,Pvt Ltd,1,21,0.0,0.923
5568,Laura Hernandez,city_101,Male,no_enrollment,Graduate,STEM,No relevent experience,4,unknow,unknow,1,92,1.0,0.5579999999999999
2195,David Williams,city_64,Male,no_enrollment,Graduate,STEM,Has relevent experience,10,100-500,Pvt Ltd,2,102,0.0,0.6659999999999999
30533,Sarah Davis,city_105,Male,no_enrollment,Graduate,Humanities,No relevent experience,5,10000+,Pvt Ltd,>4,26,0.0,0.794
28512,Alex Jones,city_104,unknow,no_enrollment,Masters,STEM,Has relevent experience,3,<10,Early Stage Startup,2,7,0.0,0.924
1023,Alex Johnson,city_114,Male,Full time course,High School,unknow,No relevent experience,4,10000+,Pvt Ltd,1,43,0.0,0.926
12253,David Martinez,city_104,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,Pvt Ltd,1,45,0.0,0.924
25296,Mike Williams,city_73,Male,Full time course,Graduate,STEM,Has relevent experience,2,50-99,Early Stage Startup,2,52,0.0,0.754
13238,John Miller,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,unknow,unknow,2,19,0.0,0.92
13478,John Williams,city_21,unknow,Full time course,Graduate,STEM,Has relevent experience,2,10/49,Funded Startup,unknow,32,1.0,0.624
18578,John Martinez,city_162,Male,no_enrollment,Graduate,Humanities,Has relevent experience,>20,100-500,Pvt Ltd,>4,26,1.0,0.767
29975,Alex Jones,city_67,Male,Part time course,Graduate,STEM,Has relevent experience,6,unknow,unknow,1,90,0.0,0.855
26516,Jane Williams,city_75,Male,no_enrollment,Graduate,STEM,Has relevent experience,6,100-500,Pvt Ltd,3,25,0.0,0.939
24690,Katie Brown,city_41,unknow,unknow,Masters,STEM,Has relevent experience,13,<10,unknow,1,15,0.0,0.8270000000000001
8433,Laura Williams,city_100,Male,no_enrollment,Masters,Humanities,Has relevent experience,>20,100-500,Pvt Ltd,>4,48,0.0,0.887
9572,Alex Garcia,city_11,unknow,Full time course,High School,unknow,No relevent experience,3,unknow,unknow,unknow,98,0.0,0.55
5878,Sarah Johnson,city_93,Male,no_enrollment,Graduate,STEM,Has relevent experience,10,50-99,Pvt Ltd,2,142,1.0,0.865
25695,Chris Brown,city_67,Other,no_enrollment,Masters,Humanities,No relevent experience,4,10000+,Pvt Ltd,4,13,0.0,0.855
9645,Sarah Davis,city_16,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,unknow,unknow,>4,47,0.0,0.91
12730,Sarah Garcia,city_16,Female,no_enrollment,Masters,Humanities,Has relevent experience,14,500-999,Public Sector,1,28,0.0,0.91
4830,Jane Jones,city_90,unknow,unknow,unknow,unknow,No relevent experience,2,unknow,Pvt Ltd,never,228,1.0,0.698
20970,Laura Hernandez,city_64,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,unknow,unknow,4,22,0.0,0.6659999999999999
17271,Jane Jones,city_21,Male,Full time course,Graduate,STEM,No relevent experience,<1,unknow,unknow,never,18,1.0,0.624
12731,Mike Garcia,city_13,Male,no_enrollment,Graduate,STEM,Has relevent experience,2,10/49,Pvt Ltd,1,29,0.0,0.8270000000000001
10908,David Davis,city_67,Male,no_enrollment,Masters,STEM,Has relevent experience,5,100-500,unknow,1,46,0.0,0.855
29117,Alex Miller,city_11,unknow,Full time course,Graduate,STEM,No relevent experience,<1,unknow,unknow,never,12,0.0,0.55
3686,John Martinez,city_103,unknow,no_enrollment,Graduate,STEM,Has relevent experience,5,100-500,Pvt Ltd,2,17,0.0,0.92
22683,David Johnson,city_36,Male,no_enrollment,Masters,STEM,Has relevent experience,5,50-99,Pvt Ltd,2,65,0.0,0.893
22134,Chris Garcia,city_103,Male,no_enrollment,Graduate,Humanities,No relevent experience,3,100-500,Pvt Ltd,1,35,0.0,0.92
31765,Emily Johnson,city_67,Male,Full time course,Graduate,STEM,No relevent experience,9,10000+,Pvt Ltd,3,14,0.0,0.855
31449,John Johnson,city_103,Female,no_enrollment,Masters,STEM,Has relevent experience,2,<10,Early Stage Startup,1,4,0.0,0.92
5987,Laura Johnson,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,50-99,Pvt Ltd,>4,12,0.0,0.92
21762,Sarah Williams,city_160,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,50-99,Pvt Ltd,2,108,0.0,0.92
22070,Emily Davis,city_103,Male,no_enrollment,Graduate,STEM,No relevent experience,>20,unknow,unknow,1,136,0.0,0.92
25413,John Brown,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,5,10/49,unknow,1,27,0.0,0.92
5902,Mike Jones,city_20,unknow,Part time course,Masters,STEM,Has relevent experience,4,50-99,Funded Startup,1,74,0.0,0.7959999999999999
28403,Chris Brown,city_71,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,10/49,Early Stage Startup,1,86,0.0,0.884
30937,Katie Miller,city_57,Female,Part time course,Graduate,STEM,No relevent experience,<1,10/49,Pvt Ltd,2,83,0.0,0.866
28751,Alex Brown,city_103,unknow,Full time course,High School,unknow,No relevent experience,4,unknow,unknow,3,75,0.0,0.92
29290,Mike Miller,city_152,Male,Full time course,Masters,STEM,No relevent experience,11,unknow,Public Sector,2,42,0.0,0.698
32401,Emily Davis,city_103,Female,no_enrollment,Graduate,STEM,Has relevent experience,6,100-500,unknow,1,332,0.0,0.92
19128,Laura Johnson,city_61,Male,Full time course,Graduate,STEM,No relevent experience,4,unknow,unknow,unknow,140,0.0,0.913
29036,Laura Hernandez,city_16,Male,no_enrollment,High School,unknow,No relevent experience,3,unknow,unknow,never,182,0.0,0.91
16869,Katie Smith,city_103,Female,no_enrollment,Graduate,Humanities,No relevent experience,3,100-500,Pvt Ltd,1,13,1.0,0.92
10497,Jane Smith,city_19,unknow,no_enrollment,Graduate,STEM,Has relevent experience,5,10/49,Pvt Ltd,2,172,1.0,0.682
18099,Alex Garcia,city_103,unknow,no_enrollment,Graduate,STEM,Has relevent experience,10,100-500,NGO,1,48,0.0,0.92
12081,John Davis,city_65,Male,Full time course,Graduate,STEM,Has relevent experience,9,50-99,Pvt Ltd,1,33,0.0,0.802
7364,Jane Jones,city_160,unknow,Full time course,High School,unknow,No relevent experience,2,100-500,Pvt Ltd,1,142,0.0,0.92
11184,Chris Miller,city_74,unknow,Full time course,Graduate,STEM,No relevent experience,2,100-500,Pvt Ltd,1,34,0.0,0.579
7016,Chris Miller,city_65,Male,no_enrollment,Graduate,STEM,Has relevent experience,6,50-99,Pvt Ltd,2,14,1.0,0.802
8695,Sarah Davis,city_11,Male,no_enrollment,Graduate,STEM,Has relevent experience,6,10/49,Pvt Ltd,2,27,1.0,0.55
6172,Laura Martinez,city_11,Male,no_enrollment,Graduate,STEM,Has relevent experience,8,100-500,Pvt Ltd,1,24,1.0,0.55
14672,Jane Davis,city_173,unknow,no_enrollment,Masters,STEM,No relevent experience,>20,unknow,unknow,1,150,0.0,0.878
18257,Laura Martinez,city_103,Female,no_enrollment,Graduate,STEM,Has relevent experience,11,500-999,NGO,>4,20,0.0,0.92
24493,Laura Jones,city_103,unknow,no_enrollment,Graduate,STEM,Has relevent experience,5,500-999,unknow,1,140,0.0,0.92
1180,Chris Miller,city_16,Male,no_enrollment,Graduate,STEM,Has relevent experience,12,5000-9999,Pvt Ltd,1,52,0.0,0.91
28627,John Davis,city_75,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,50-99,Pvt Ltd,2,160,0.0,0.939
8168,Mike Miller,city_136,Male,no_enrollment,Masters,STEM,Has relevent experience,9,5000-9999,Pvt Ltd,2,3,0.0,0.897
10473,Laura Davis,city_21,Male,no_enrollment,Graduate,STEM,Has relevent experience,2,<10,Pvt Ltd,2,2,1.0,0.624
25349,Mike Williams,city_16,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,1000-4999,Pvt Ltd,>4,28,0.0,0.91
5220,David Hernandez,city_73,Male,no_enrollment,Graduate,Other,Has relevent experience,>20,unknow,unknow,4,46,0.0,0.754
4789,Sarah Hernandez,city_67,Male,no_enrollment,Graduate,STEM,Has relevent experience,8,50-99,Pvt Ltd,1,210,0.0,0.855
11338,Mike Smith,city_114,Male,no_enrollment,Graduate,STEM,Has relevent experience,10,<10,Pvt Ltd,1,36,0.0,0.926
27963,Mike Miller,city_98,Male,Full time course,Graduate,STEM,No relevent experience,4,unknow,unknow,1,160,1.0,0.949
8571,Emily Smith,city_21,Male,Full time course,Graduate,STEM,Has relevent experience,2,10/49,NGO,2,101,0.0,0.624
16303,Mike Williams,city_114,Male,no_enrollment,Masters,STEM,Has relevent experience,6,50-99,unknow,1,46,0.0,0.926
20576,Chris Smith,city_97,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,1000-4999,Pvt Ltd,>4,19,0.0,0.925
32966,Mike Brown,city_21,Male,no_enrollment,Graduate,STEM,Has relevent experience,3,100-500,Pvt Ltd,2,26,1.0,0.624
21199,David Garcia,city_90,unknow,Full time course,Graduate,STEM,Has relevent experience,7,<10,NGO,1,90,0.0,0.698
18819,Katie Smith,city_50,Male,no_enrollment,Graduate,STEM,Has relevent experience,9,<10,Pvt Ltd,4,59,0.0,0.8959999999999999
14199,Alex Hernandez,city_160,Male,Part time course,Graduate,Business Degree,Has relevent experience,10,50-99,Funded Startup,1,260,0.0,0.92
7666,Jane Smith,city_21,Female,no_enrollment,Graduate,STEM,Has relevent experience,11,50-99,Pvt Ltd,>4,74,0.0,0.624
13915,John Jones,city_16,Male,no_enrollment,Phd,STEM,Has relevent experience,>20,100-500,Pvt Ltd,2,20,1.0,0.91
10555,Mike Martinez,city_173,Male,no_enrollment,Graduate,STEM,Has relevent experience,12,100-500,Pvt Ltd,2,8,0.0,0.878
16040,Chris Brown,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,6,100-500,Pvt Ltd,1,131,0.0,0.92
32826,David Garcia,city_138,Male,Full time course,Masters,STEM,Has relevent experience,7,unknow,unknow,1,45,0.0,0.836
13253,David Davis,city_82,Male,Full time course,Graduate,STEM,Has relevent experience,11,10/49,Pvt Ltd,2,109,0.0,0.693
15637,Mike Brown,city_67,Male,no_enrollment,Graduate,Humanities,Has relevent experience,3,100-500,Pvt Ltd,1,70,0.0,0.855
28074,Jane Miller,city_103,Female,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,NGO,>4,17,0.0,0.92
23012,Sarah Hernandez,city_103,Female,no_enrollment,Masters,STEM,No relevent experience,15,50-99,Pvt Ltd,1,51,0.0,0.92
16110,Jane Johnson,city_103,Female,no_enrollment,Graduate,STEM,Has relevent experience,6,50-99,Pvt Ltd,3,60,1.0,0.92
3921,Katie Hernandez,city_36,unknow,no_enrollment,Phd,STEM,No relevent experience,>20,1000-4999,Public Sector,>4,4,0.0,0.893
24530,Chris Brown,city_114,Male,no_enrollment,Graduate,STEM,No relevent experience,12,100-500,Pvt Ltd,>4,7,0.0,0.926
1924,Alex Garcia,city_102,unknow,no_enrollment,Masters,STEM,Has relevent experience,>20,100-500,Pvt Ltd,3,164,0.0,0.804
32776,Sarah Williams,city_64,Male,no_enrollment,Graduate,STEM,Has relevent experience,20,unknow,unknow,4,290,0.0,0.6659999999999999
1907,Chris Brown,city_102,Male,no_enrollment,High School,unknow,No relevent experience,2,<10,NGO,never,145,0.0,0.804
23947,Jane Martinez,city_103,unknow,no_enrollment,Phd,STEM,No relevent experience,unknow,unknow,unknow,unknow,70,0.0,0.92
3116,Alex Martinez,city_21,Male,no_enrollment,unknow,unknow,No relevent experience,3,unknow,unknow,1,24,0.0,0.624
24829,Jane Miller,city_103,Male,no_enrollment,Masters,Humanities,No relevent experience,3,10000+,Pvt Ltd,1,133,1.0,0.92
30488,Katie Martinez,city_11,unknow,Full time course,Graduate,STEM,No relevent experience,2,unknow,unknow,1,20,0.0,0.55
1265,Jane Hernandez,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,10,<10,Funded Startup,1,76,0.0,0.92
22098,Emily Davis,city_90,Female,Full time course,Masters,STEM,No relevent experience,5,unknow,unknow,4,21,1.0,0.698
13342,Emily Jones,city_21,Female,no_enrollment,Graduate,Other,Has relevent experience,8,5000-9999,Pvt Ltd,2,34,0.0,0.624
24608,Sarah Williams,city_160,Male,no_enrollment,Graduate,STEM,No relevent experience,9,<10,Pvt Ltd,2,15,0.0,0.92
20081,Jane Jones,city_57,Male,no_enrollment,Graduate,STEM,No relevent experience,>20,unknow,unknow,>4,156,0.0,0.866
24796,Sarah Jones,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,5000-9999,Pvt Ltd,>4,15,0.0,0.92
7777,Sarah Davis,city_114,unknow,no_enrollment,Masters,STEM,Has relevent experience,>20,unknow,unknow,never,120,0.0,0.926
22718,Emily Brown,city_157,unknow,no_enrollment,Graduate,No Major,Has relevent experience,14,10000+,unknow,>4,47,0.0,0.769
1261,Mike Hernandez,city_73,Male,no_enrollment,Graduate,STEM,Has relevent experience,12,unknow,unknow,2,100,1.0,0.754
3396,David Smith,city_67,Male,Part time course,Graduate,STEM,Has relevent experience,6,500-999,Pvt Ltd,never,102,0.0,0.855
4283,John Martinez,city_103,Male,no_enrollment,High School,unknow,No relevent experience,4,unknow,unknow,never,52,0.0,0.92
18998,Sarah Davis,city_114,unknow,no_enrollment,High School,unknow,Has relevent experience,9,10/49,unknow,4,39,0.0,0.926
2003,Mike Williams,city_103,Male,Full time course,High School,unknow,Has relevent experience,4,unknow,unknow,1,112,1.0,0.92
31786,Laura Williams,city_103,Male,no_enrollment,Phd,STEM,No relevent experience,>20,50-99,Pvt Ltd,>4,14,0.0,0.92
8241,Chris Garcia,city_16,unknow,no_enrollment,unknow,unknow,Has relevent experience,11,unknow,unknow,1,4,0.0,0.91
12154,John Johnson,city_16,unknow,no_enrollment,Masters,Arts,Has relevent experience,>20,1000-4999,NGO,>4,55,0.0,0.91
23455,Chris Davis,city_21,Male,no_enrollment,Graduate,STEM,Has relevent experience,6,10000+,Pvt Ltd,4,49,1.0,0.624
19882,Jane Martinez,city_16,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,unknow,unknow,>4,72,0.0,0.91
28817,John Smith,city_89,Male,Full time course,Graduate,STEM,Has relevent experience,14,5000-9999,Pvt Ltd,3,141,1.0,0.925
4656,Jane Garcia,city_114,Male,no_enrollment,High School,unknow,No relevent experience,6,unknow,Pvt Ltd,never,28,0.0,0.926
7280,Chris Davis,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,13,10000+,Pvt Ltd,1,6,0.0,0.92
16903,Alex Hernandez,city_103,Male,no_enrollment,Graduate,No Major,Has relevent experience,17,5000-9999,Pvt Ltd,1,125,0.0,0.92
13333,David Garcia,city_75,unknow,no_enrollment,Graduate,STEM,Has relevent experience,>20,unknow,unknow,never,326,0.0,0.939
26241,Katie Davis,city_103,Male,no_enrollment,Graduate,Other,Has relevent experience,>20,100-500,Pvt Ltd,2,33,0.0,0.92
12381,Emily Brown,city_102,unknow,no_enrollment,Masters,STEM,No relevent experience,6,10000+,Pvt Ltd,>4,40,0.0,0.804
4064,David Johnson,city_160,unknow,no_enrollment,Graduate,STEM,Has relevent experience,18,unknow,unknow,1,198,1.0,0.92
32092,Alex Hernandez,city_103,Female,no_enrollment,Masters,STEM,Has relevent experience,15,10000+,Pvt Ltd,>4,55,0.0,0.92
3766,Emily Smith,city_150,Male,no_enrollment,Graduate,STEM,No relevent experience,>20,500-999,Pvt Ltd,>4,32,0.0,0.698
30496,John Garcia,city_103,Male,no_enrollment,Graduate,Arts,Has relevent experience,>20,100-500,Pvt Ltd,>4,11,0.0,0.92
7189,Jane Hernandez,city_73,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,<10,Pvt Ltd,1,41,0.0,0.754
29497,Laura Williams,city_103,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,10000+,Public Sector,>4,87,1.0,0.92
31593,David Williams,city_67,Male,no_enrollment,Masters,STEM,Has relevent experience,10,100-500,Pvt Ltd,4,114,0.0,0.855
12384,Jane Garcia,city_70,unknow,unknow,unknow,unknow,Has relevent experience,>20,unknow,unknow,>4,33,0.0,0.698
11986,John Hernandez,city_90,Male,Part time course,Masters,STEM,Has relevent experience,5,<10,Early Stage Startup,1,15,0.0,0.698
31033,Alex Jones,city_16,unknow,Full time course,High School,unknow,No relevent experience,3,unknow,unknow,1,8,0.0,0.91
14835,David Johnson,city_173,Female,Part time course,High School,unknow,Has relevent experience,2,100-500,NGO,1,22,0.0,0.878
3728,Mike Hernandez,city_103,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,5000-9999,Pvt Ltd,4,13,0.0,0.92
3024,David Williams,city_98,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,<10,Public Sector,1,246,0.0,0.949
23508,Mike Garcia,city_103,Male,no_enrollment,Masters,STEM,Has relevent experience,9,10/49,Pvt Ltd,1,22,0.0,0.92
29457,Mike Johnson,city_103,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,<10,Funded Startup,1,81,0.0,0.92
12297,Jane Brown,city_175,unknow,Full time course,Graduate,STEM,Has relevent experience,4,10/49,Funded Startup,1,11,0.0,0.7759999999999999
27708,Alex Williams,city_94,Male,Full time course,Graduate,STEM,No relevent experience,5,5000-9999,unknow,unknow,24,1.0,0.698
3065,David Smith,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,Funded Startup,1,50,0.0,0.92
29226,Chris Johnson,city_104,Male,Full time course,High School,unknow,No relevent experience,6,unknow,unknow,never,15,0.0,0.924
5493,Mike Garcia,city_28,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,10/49,Pvt Ltd,>4,31,0.0,0.939
2891,Laura Martinez,city_114,Male,no_enrollment,Masters,STEM,Has relevent experience,>20,50-99,Pvt Ltd,never,84,0.0,0.926
32509,Alex Jones,city_136,Male,Part time course,Graduate,STEM,Has relevent experience,4,10000+,Pvt Ltd,1,42,0.0,0.897
31841,Jane Hernandez,city_21,unknow,no_enrollment,Graduate,STEM,Has relevent experience,10,10/49,Pvt Ltd,>4,105,1.0,0.624
907,Chris Brown,city_103,Female,no_enrollment,Graduate,STEM,Has relevent experience,>20,50-99,Pvt Ltd,>4,72,0.0,0.92
29526,Mike Brown,city_115,Male,no_enrollment,Graduate,STEM,Has relevent experience,14,10/49,Pvt Ltd,>4,42,1.0,0.789
10956,Alex Williams,city_94,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,50-99,Early Stage Startup,1,152,0.0,0.698
26099,David Hernandez,city_103,Male,no_enrollment,Graduate,STEM,Has relevent experience,12,10000+,Pvt Ltd,1,60,0.0,0.92
26163,Laura Smith,city_21,Male,Full time course,Masters,STEM,No relevent experience,2,unknow,unknow,never,8,0.0,0.624
4120,Alex Smith,city_16,Male,Full time course,Masters,STEM,No relevent experience,13,unknow,unknow,3,17,1.0,0.91
7335,Sarah Martinez,city_83,Male,no_enrollment,High School,unknow,No relevent experience,1,unknow,unknow,1,33,0.0,0.923
706,David Jones,city_16,Male,no_enrollment,Masters,STEM,Has relevent experience,4,100-500,Funded Startup,never,38,0.0,0.91
9890,Chris Williams,city_103,Male,no_enrollment,Graduate,Humanities,Has relevent experience,14,<10,Early Stage Startup,2,178,0.0,0.92
32683,Jane Martinez,city_160,Male,no_enrollment,Graduate,STEM,Has relevent experience,15,50-99,Pvt Ltd,1,11,0.0,0.92
27104,Mike Martinez,city_36,Male,no_enrollment,High School,unknow,Has relevent experience,>20,unknow,unknow,never,87,0.0,0.893
7731,Emily Williams,city_65,Male,no_enrollment,Graduate,STEM,Has relevent experience,13,unknow,unknow,never,84,0.0,0.802
31943,Sarah Davis,city_71,Male,no_enrollment,Graduate,STEM,Has relevent experience,>20,100-500,Early Stage Startup,2,32,0.0,0.884
22899,Laura Williams,city_100,unknow,no_enrollment,Masters,STEM,Has relevent experience,9,100-500,Pvt Ltd,1,31,1.0,0.887
33339,Sarah Jones,city_21,Male,no_enrollment,Graduate,STEM,No relevent experience,2,500-999,Public Sector,1,39,0.0,0.624
20866,Laura Jones,city_59,unknow,no_enrollment,Graduate,STEM,Has relevent experience,7,10/49,Pvt Ltd,1,12,0.0,0.775
21634,Alex Miller,city_21,unknow,Full time course,Graduate,STEM,Has relevent experience,5,10000+,Pvt Ltd,1,50,0.0,0.624
29529,David Johnson,city_165,Male,no_enrollment,Graduate,STEM,Has relevent experience,3,100-500,Pvt Ltd,1,55,1.0,0.903
4478,Laura Brown,city_11,unknow,no_enrollment,Graduate,STEM,Has relevent experience,5,50-99,Pvt Ltd,unknow,7,1.0,0.55
32095,David Martinez,city_103,Male,no_enrollment,Masters,Humanities,Has relevent experience,2,50-99,Early Stage Startup,1,104,0.0,0.92
18272,Alex Martinez,city_160,unknow,Full time course,Graduate,Business Degree,Has relevent experience,>20,unknow,unknow,>4,90,1.0,0.92
30098,Katie Martinez,city_103,Male,no_enrollment,Masters,Other,Has relevent experience,>20,100-500,Pvt Ltd,>4,8,0.0,0.92
